Unnamed: 0,image_path,ar,distractor_1,distractor_2,answer
0,62126.jpg,I should buy these clothes because i will look like a model,I should buy these clothes because I live in Paris.,I should buy these clothes because I will only see in black and white.,I should buy these clothes because i will look like a model
1,144593.jpg,"I should eat at texas brazil because father's day, fathers eat free",I should eat at texas brazil because pork and chicken taste better on Father's Day,I should eat at texas de brazil because they know how to grill flowers with beef,
2,16608.jpg,I should shop at a this store because they have many items.,I should shop at this store because they sell christmas garments.,I should shop at this store because they sell catalogues.,
3,171400.png,I should shop at Duram's Early Bird Special in order to stock up on my camping and outdoor needs.  ,I should shop at Duram's Early Bird Special because they have second-hand bicycles,I should shop at Duram's Early Bird Special because I like kayaking,
4,142518.jpg,I should get some lipstick because it will make my lips look beautiful.,I should get some lipstick because my new uniform has arrived,I should get some lipstick because it was created during the French Revolution,
5,125683.jpg,I should buy this make up because it will make me feel beautiful in any lighting.,I should buy this make up because I love taking photos with bad lighting,I should buy this shampoo because it will make me ready to be photographed,
6,52512.jpg,I should get this stapler because it's heavy duty.,I should get a red stamp on my documents because otherwise I'll get killed,I should get a killer because my stapler leaves red marks on my documents,
7,118162.jpg,I should buy this candy because it looks cool and refreshingly minty.,I should buy this candy because I can find a penguin inside it.,I should buy this candy because it does not have a hole.,
8,80689.jpg,I should buy Renault Ketchup because its yellow and not red,I should buy Renault Ketchup because Ferrari won the F1 race ,I should buy Renault Ketchup because tomatoes last longer in glass bottles  ,
9,11360.jpg,I should grocery shop at safeway because it has the best deals.,I should shop for compostable groceries because they are just better,I should grocery shop at Safeway because I am allergic to salmon and steaks,
